mu,eta,success,max_height,max_pitch,settling_time,max_overshoot
0.05,0.0,False,0.23715629493790374,45.520516028653795,,
0.05,0.1,False,0.23715629493790374,45.520516028653795,,
0.05,0.2,False,0.23715629493790374,45.520516028653795,,
0.05,0.3,False,0.23715629493790374,45.520516028653795,,
0.05,0.4,False,0.23715629493790374,45.520516028653795,,
0.05,0.5,False,0.23715629493790374,45.520516028653795,,
0.1,0.0,False,0.23808331225998333,45.36720216372104,,
0.1,0.1,False,0.23808331225998333,45.36720216372104,,
0.1,0.2,False,0.23808331225998333,45.36720216372104,,
0.1,0.3,False,0.23808331225998333,45.36720216372104,,
0.1,0.4,False,0.23808331225998333,45.36720216372104,,
0.1,0.5,False,0.23808331225998333,45.36720216372104,,
0.15,0.0,False,0.2385292870197742,45.49611013633366,,
0.15,0.1,False,0.2385292870197742,45.49611013633366,,
0.15,0.2,False,0.2385292870197742,45.49611013633366,,
0.15,0.3,False,0.2385292870197742,45.49611013633366,,
0.15,0.4,False,0.2385292870197742,45.49611013633366,,
0.15,0.5,False,0.2385292870197742,45.49611013633366,,
0.2,0.0,False,0.23860182993697832,45.16968280560204,,
0.2,0.1,False,0.23860182993697832,45.16968280560204,,
0.2,0.2,False,0.23860182993697832,45.16968280560204,,
0.2,0.3,False,0.23860182993697832,45.16968280560204,,
0.2,0.4,False,0.23860182993697832,45.16968280560204,,
0.2,0.5,False,0.23860182993697832,45.16968280560204,,
0.25,0.0,False,0.23956402546279404,46.51796522164956,,
0.25,0.1,False,0.23956402546279404,46.51796522164956,,
0.25,0.2,False,0.23956402546279404,46.51796522164956,,
0.25,0.3,False,0.23956402546279404,46.51796522164956,,
0.25,0.4,False,0.23956402546279404,46.51796522164956,,
0.25,0.5,False,0.23956402546279404,46.51796522164956,,
0.3,0.0,False,0.23979467630973994,46.05161029740813,,
0.3,0.1,False,0.23979467630973994,46.05161029740813,,
0.3,0.2,False,0.23979467630973994,46.05161029740813,,
0.3,0.3,False,0.23979467630973994,46.05161029740813,,
0.3,0.4,False,0.23979467630973994,46.05161029740813,,
0.3,0.5,False,0.23979467630973994,46.05161029740813,,
