mu,wind_ratio,success,max_height,max_pitch
0.05,0.0,True,0.507945045559421,0.0005881046365136203
0.05,0.1,True,0.507945045559421,0.015844978026624476
0.05,0.2,True,0.507945045559421,0.031689751903408794
0.05,0.3,True,0.507945045559421,0.04753432163500647
0.05,0.4,True,0.507945045559421,0.06337868722607076
0.05,0.5,True,0.507945045559421,0.07922284868125505
0.1,0.0,True,0.507945045559421,0.0005887993819681577
0.1,0.1,True,0.507945045559421,0.008522229283066125
0.1,0.2,True,0.507945045559421,0.017044396122030986
0.1,0.3,True,0.507945045559421,0.025566500517607123
0.1,0.4,True,0.507945045559421,0.03408854247050699
0.1,0.5,True,0.507945045559421,0.04261052198144311
0.15,0.0,True,0.507945045559421,0.0005895251700074756
0.15,0.1,True,0.507945045559421,0.005874804190816939
0.15,0.2,True,0.507945045559421,0.0117495764605839
0.15,0.3,True,0.507945045559421,0.01762431680952487
0.15,0.4,True,0.507945045559421,0.0234990252378638
0.15,0.5,True,0.507945045559421,0.029373701745824658
0.2,0.0,True,0.507945045559421,0.0005902669917535635
0.2,0.1,True,0.507945045559421,0.004494884681064274
0.2,0.2,True,0.507945045559421,0.008989748463552362
0.2,0.3,True,0.507945045559421,0.013484591347561395
0.2,0.4,True,0.507945045559421,0.01797941333318851
0.2,0.5,True,0.507945045559421,0.022474214420530828
0.25,0.0,True,0.507945045559421,0.000591012635327922
0.25,0.1,True,0.507945045559421,0.003658239234390349
0.25,0.2,True,0.507945045559421,0.007316463743564816
0.25,0.3,True,0.507945045559421,0.010974673527555734
0.25,0.4,True,0.507945045559421,0.014632868586395401
0.25,0.5,True,0.507945045559421,0.018291048920116154
0.3,0.0,True,0.507945045559421,0.0005917678527848306
0.3,0.1,True,0.507945045559421,0.0030975552735147092
0.3,0.2,True,0.507945045559421,0.006195099166050572
0.3,0.3,True,0.507945045559421,0.00929263167760759
0.3,0.4,True,0.507945045559421,0.012390152808185766
0.3,0.5,True,0.507945045559421,0.015487662557785097
