mu,wind_ratio,wind_force,success,max_height,max_pitch
0.05,0.0,0.0,True,0.5041283210272857,14.415561605221143
0.05,0.1,0.9810000000000001,True,0.5041283210272857,14.350495477072394
0.05,0.2,1.9620000000000002,True,0.5041283210272857,14.28540330123674
0.05,0.3,2.943,True,0.5041283210272857,14.22028439660236
0.05,0.4,3.9240000000000004,True,0.5041283210272857,14.155138097320156
0.05,0.5,4.905,True,0.5041283210272857,14.08996370610208
0.1,0.0,0.0,True,0.504171456532828,2.967947611873758
0.1,0.1,0.9810000000000001,True,0.504171456532828,2.967947611873758
0.1,0.2,1.9620000000000002,True,0.504171456532828,2.967947611873758
0.1,0.3,2.943,True,0.504171456532828,2.967947611873758
0.1,0.4,3.9240000000000004,True,0.504171456532828,2.967947611873758
0.1,0.5,4.905,True,0.504171456532828,2.967947611873758
0.15,0.0,0.0,True,0.5041641821800226,5.307544959822487
0.15,0.1,0.9810000000000001,True,0.5041641821800226,5.307544959822487
0.15,0.2,1.9620000000000002,True,0.5041641821800226,5.307544959822487
0.15,0.3,2.943,True,0.5041641821800226,5.307544959822487
0.15,0.4,3.9240000000000004,True,0.5041641821800226,5.307544959822487
0.15,0.5,4.905,True,0.5041641821800226,5.307544959822487
0.2,0.0,0.0,True,0.5040966476006177,10.287153228761017
0.2,0.1,0.9810000000000001,True,0.5040966476006177,10.287153228761017
0.2,0.2,1.9620000000000002,True,0.5040966476006177,10.287153228761017
0.2,0.3,2.943,True,0.5040966476006177,10.287153228761017
0.2,0.4,3.9240000000000004,True,0.5040966476006177,10.287153228761017
0.2,0.5,4.905,True,0.5040966476006177,10.287153228761017
0.25,0.0,0.0,False,0.5041204860893744,48.562751463672576
0.25,0.1,0.9810000000000001,False,0.5041204860893744,48.562751463672576
0.25,0.2,1.9620000000000002,False,0.5041204860893744,48.562751463672576
0.25,0.3,2.943,False,0.5041204860893744,48.562751463672576
0.25,0.4,3.9240000000000004,False,0.5041204860893744,48.562751463672576
0.25,0.5,4.905,False,0.5041204860893744,48.562751463672576
0.3,0.0,0.0,False,0.5042413230189344,46.451678474984
0.3,0.1,0.9810000000000001,False,0.5042413230189344,46.621961811869326
0.3,0.2,1.9620000000000002,False,0.5042413230189344,46.68932186383403
0.3,0.3,2.943,False,0.5042413230189344,46.31682368344524
0.3,0.4,3.9240000000000004,False,0.5042413230189344,49.25654953070887
0.3,0.5,4.905,False,0.5042413230189344,49.388730589815125
