mu,eta,success,max_height,max_pitch,settling_time,theta_peak,wind_applied
0.05,0.0,False,0.5042111845472703,45.58235541820466,2.0,0.0,False
0.05,0.1,False,0.5042111845472703,45.58235541820466,2.0,0.0,False
0.05,0.2,False,0.5042111845472703,45.58235541820466,2.0,0.0,False
0.05,0.3,False,0.5042111845472703,45.58235541820466,2.0,0.0,False
0.05,0.4,False,0.5042111845472703,45.58235541820466,2.0,0.0,False
0.05,0.5,False,0.5042111845472703,45.58235541820466,2.0,0.0,False
0.1,0.0,False,0.5031735966862053,46.82527028985907,2.0,0.0,False
0.1,0.1,False,0.5031735966862053,46.82527028985907,2.0,0.0,False
0.1,0.2,False,0.5031735966862053,46.82527028985907,2.0,0.0,False
0.1,0.3,False,0.5031735966862053,46.82527028985907,2.0,0.0,False
0.1,0.4,False,0.5031735966862053,46.82527028985907,2.0,0.0,False
0.1,0.5,False,0.5031735966862053,46.82527028985907,2.0,0.0,False
0.15,0.0,False,0.5026553246366029,47.22745495291958,2.0,0.0,False
0.15,0.1,False,0.5026553246366029,47.22745495291958,2.0,0.0,False
0.15,0.2,False,0.5026553246366029,47.22745495291958,2.0,0.0,False
0.15,0.3,False,0.5026553246366029,47.22745495291958,2.0,0.0,False
0.15,0.4,False,0.5026553246366029,47.22745495291958,2.0,0.0,False
0.15,0.5,False,0.5026553246366029,47.22745495291958,2.0,0.0,False
0.2,0.0,False,0.5023681245369847,46.513352239646395,2.0,0.0,False
0.2,0.1,False,0.5023681245369847,46.513352239646395,2.0,0.0,False
0.2,0.2,False,0.5023681245369847,46.513352239646395,2.0,0.0,False
0.2,0.3,False,0.5023681245369847,46.513352239646395,2.0,0.0,False
0.2,0.4,False,0.5023681245369847,46.513352239646395,2.0,0.0,False
0.2,0.5,False,0.5023681245369847,46.513352239646395,2.0,0.0,False
0.25,0.0,False,0.5021717292328789,45.94160695648851,2.0,0.0,False
0.25,0.1,False,0.5021717292328789,45.94160695648851,2.0,0.0,False
0.25,0.2,False,0.5021717292328789,45.94160695648851,2.0,0.0,False
0.25,0.3,False,0.5021717292328789,45.94160695648851,2.0,0.0,False
0.25,0.4,False,0.5021717292328789,45.94160695648851,2.0,0.0,False
0.25,0.5,False,0.5021717292328789,45.94160695648851,2.0,0.0,False
0.3,0.0,False,0.5020280984391957,45.46435720511511,2.0,0.0,False
0.3,0.1,False,0.5020280984391957,45.46435720511511,2.0,0.0,False
0.3,0.2,False,0.5020280984391957,45.46435720511511,2.0,0.0,False
0.3,0.3,False,0.5020280984391957,45.46435720511511,2.0,0.0,False
0.3,0.4,False,0.5020280984391957,45.46435720511511,2.0,0.0,False
0.3,0.5,False,0.5020280984391957,45.46435720511511,2.0,0.0,False
